1 0 371 41 42 . 53.5 60.4 67.2 70.9 76.2 81.1 . 89.5 95.9
2 1 289 27 32 10 54.5 58.8 66 69.1 74.5 78.2 81.2 86.7 .
3 1 283 23 31 4 49.5 56 61.9 64.1 67.9 69.6 73.8 . 85.1
4 0 444 24 35 1 56.9 64.6 70 72.5 76.1 80.4 82.3 87.9 94.3
5 1 354 19 28 8 56.7 63.1 . 73.1 77.3 81.8 83.5 88.9 99.1
6 1 406 27 27 8 56.1 61.9 67.9 72.3 77.3 79.9 82.3 88.3 97.5
7 1 321 28 27 5 52.2 56.6 66.5 71.2 . . . . .
8 0 382 37 37 1 53.5 61 68.1 72.2 77.3 80.4 84 88.9 99.1
9 0 416 32 34 9 . 63.5 71.2 76.7 80.1 83.1 87.2 91.4 100.3
10 0 360 28 30 8 51.9 59.7 66.8 70.7 73.9 77.5 81.5 85.4 94
11 1 365 34 35 8 52.6 59.2 62.8 67.3 71.2 75.4 78.3 83.2 91.8
12 0 429 33 29 24 57.6 64.8 70.9 75.2 78.8 82.5 85.2 90.2 101.6
13 0 390 23 26 6 . 62.4 67.8 73.8 76.9 79 81.3 88.3 95.2
14 1 . . . . 57.8 . . . . . . . .
15 . 360 20 27 14 . . . . . . . . .
16 0 377 37 41 5 . 61 67.1 70.5 75.2 79 82.5 . 94
17 0 354 30 . . 56.8 63.6 72.4 73.9 78.4 81.8 85.2 88.6 98.8
18 1 394 30 30 10 56.2 61 68.9 73.2 77.2 80.1 84.7 89.5 98.4
19 1 329 25 29 9 52.7 61.4 67.4 71.5 75.9 78.5 83.5 86.7 96.5
20 1 357 23 26 20 55 59.9 65 67.8 . 77.2 80 84.8 94.6
21 0 380 32 37 12 55.8 62.4 65.9 . . . . . .
22 0 351 31 21 11 . . . 76.5 . . . . .
23 0 306 28 34 10 54.6 59.8 65.8 69.8 72.5 76.7 79.2 83.8 95.2
24 1 293 22 30 14 51 58.1 65.1 69.1 72.7 76 79.8 84.5 .
25 1 293 33 37 17 51.1 57.6 63 68.1 72.2 75.4 78.4 84.5 93.3
26 0 345 35 31 2 54 61.4 69.7 74.1 78.2 83.4 . . .
27 1 418 28 28 8 57.3 . 68.4 71.6 74.8 77.6 81.2 87 94.6
28 1 317 33 35 4 52.5 59.5 66.8 . . . . . .
29 1 396 20 21 14 54.9 61 66.2 69.3 72.2 74.3 78.6 . .
30 1 . . . . . 60.7 68.2 73.3 77.2 80.6 84.6 88.6 97.8
31 0 360 30 30 9 53.4 58.7 64.2 69.6 72.3 74.7 74.2 82.2 91.1
32 1 328 33 32 3 52.7 60.2 66.1 68.5 . 75.6 . 83.8 91.4
33 1 478 33 36 9 . 65.1 69.6 75.7 80 83.2 87.1 . 101.6
34 0 . . . . 56.9 63.1 69.2 72.8 76.4 81.3 84.1 88.9 .
35 1 . . . . 55.7 63 71.8 75.8 . . . . .
36 0 394 39 39 2 57.1 63 71.3 . . 86.6 87.7 94.3 104.5
37 0 396 20 34 10 55.4 62 68.7 73.9 76.9 . . 88.7 97.5
38 0 332 22 31 21 . 61 67.5 71.9 74.9 . 80.3 86.1 92.7
39 0 312 26 30 4 54.2 60.6 67.1 72.9 76.4 79.4 83.8 86.7 97.2
40 0 357 23 24 6 58 63.5 70.8 75.7 80.6 84.7 . 93.7 101.6
41 0 . . . . 55.3 61.3 68.5 . . . . . .
42 1 275 . . 6 51.6 57.5 65.3 69 72.4 77.2 80.2 84.1 94.6
43 1 368 32 33 5 51.7 57 65.6 68.8 73.5 75.8 78.7 85.4 92.8
44 0 342 30 30 12 56.7 62.2 70 73.7 78.6 81.2 85.5 91.8 102.2
45 1 249 30 27 14 52.3 57.4 65.1 70.6 74.2 76.9 81.6 86.4 96.5
46 0 382 24 29 6 . 61 67.2 73.1 75.6 77.5 . 86.4 94
47 1 376 25 27 19 55.8 60.8 65.5 69.3 72.5 77.5 80.7 85.1 94.6
48 0 388 26 23 8 55.5 61 67.2 72.8 77.7 81.7 84.6 89.5 98.4
49 0 380 25 31 4 56.1 62.9 69.2 73.1 76.9 80.8 83.2 86.4 94.6
50 1 . 36 39 10 52.3 60.4 69.6 72.5 77.8 81.2 84.2 89.2 95.2
